,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
162,нефть,РН-ТОМСКН-2020-7,"НС ф-114 к.14 - уз.вр. в гр., 900м от к.14",Нижневартовский,78.95678,60.86867,земли лесного фонда,0.2869,58.21,-,2020-04-05 00:00:00
163,нефть,РН-ТОМСКН-2020-8,"НС ф-159  к.41 - уз.вр.к.41, 200м от к.41",Нижневартовский,78.88924,60.91497,земли лесного фонда,0.2065,101.37,-,2020-05-03 00:00:00
164,нефть,РН-ТОМСКН-2020-9,"КНВЛ ф-114  к.74 скв.88р, 22м от скв.",Нижневартовский,79.01056,60.92995,"земли лесного фонда, земли промышленности",0.6594,15.92,-,2020-05-14 00:00:00
165,нефть,РН-ТОМСКН-2020-10,"НС ф-159 уз.вр.к.21 - врезка в нск гр.ДНС-3-гр.УПСВ-2, 2745м от вр.к.21",Нижневартовский,78.93885,60.86562,"земли лесного фонда, земли промышленности",0.375,133.2,-,2020-07-19 00:00:00
166,нефть,РН-ТОМСКН-2020-11,"НС ф-273  уз.вр.к.34,35,64,65,66-УПСВ-4, 2405м от уз вр.к.34,35,64,65,66",Нижневартовский,79.05268,60.87334,"земли лесного фонда, земли промышленности",0.5686,26.58,-,2020-07-21 00:00:00
167,нефть,РН-ТОМСКН-2020-12,"НС ф-114 к.14 - уз.вр. в гр., 900,1м от к.14",Нижневартовский,78.95671,60.86867,земли лесного фонда,0.05,после паспортизации 2021г.,-,2020-09-21 00:00:00
168,нефть,РН-ТОМСКН-2020-13,"НС ф-219 УПСВ-2 - ЦПС, 3407м от УПСВ-2",Нижневартовский,78.92077,60.89283,земли лесного фонда,0.04,после паспортизации 2021г.,-,2020-12-02 00:00:00
169,нефть,РН-ТОМСКН-2020-14,"НС ф-273 уз.вр.к.34,35,64,65,66 - УПСВ-4, 1765м от уз.вр.к.34,35,64,65,66",Нижневартовский,79.05153,60.8778,земли лесного фонда,0.1,после паспортизации 2021г.,-,2020-12-20 00:00:00
170,вмж,РН-ТОМСКН-2020-15,"ВВД ф-219  БКНС-19-к.4, 4891м от БКНС",Нижневартовский,79.02547,61.01402,земли лесного фонда,0.2,после паспортизации 2021г.,-,2020-12-13 00:00:00
172,вмж,РН-ТОМСКН-2016-29,"ВВД ф-114 БКНС-7 - к.46а (2783,2753), 3830м, 3860м от БКНС-7",Нижневартовский,77.035097,60.887305,земли лесного фонда,1.7569,500,-,"24.07.2016
16.11.2018 28.05.2019"
173,нефть,РН-ТОМСКН-2016-36-1,700м от к.35 (район к.35),Нижневартовский,77.04766803,60.8515299,земли лесного фонда,1.747,5,-,нет данных
174,нефть,РН-ТОМСКН-2017-4,"нск ф-219 ДНС-6 - УПСВ-3, 770м, 840м от ДНС-6",Нижневартовский,77.025607,60.77519,земли запаса; земли лесного фонда,0.3784,40.63,-,"25.06.2017
15.08.2018      30.05.2019"
175,вмж,РН-ТОМСКН-2017-7,"ВВД БКНС-7 - вр.к.207, 1520м от БКНС-7",Нижневартовский,77.034035,60.864514,земли лесного фонда,0.1953,0.23,-,2017-07-28 00:00:00
176,вмж,РН-ТОМСКН-2018-13,"ВВД БКНС-7 - ВРГ к.204, 1690м от БКНС-7",Нижневартовский,77.03124,60.86461,земли лесного фонда,0.1453,185.578,-,2018-08-27 00:00:00
177,нефть,РН-ТОМСКН-2018-15,"нск ф-219 ДНС-6 - УПСВ-3, 1480м от ДНС-6",Нижневартовский,77.028463,60.769284,"земли промышленности, земли запаса",0.0494,12.046,-,2018-10-07 00:00:00
178,нефть,РН-ТОМСКН-2018-20,"нск ф-114 к.238 - уз.вр.к.38, 220м от к.238",Нижневартовский,77.136108,60.880353,земли лесного фонда,0.2348,375.4,-,2018-12-18 00:00:00
179,нефть,РН-ТОМСКН-2018-21,"НСК ф-114 к.238 - уз.вр.к.38, 300м от к.238",Нижневартовский,77.135346,60.881137,земли лесного фонда,0.5645,373.75,-,2018-09-18 00:00:00
180,нефть,РН-ТОМСКН-2018-22,"нск ф-114 к.238 - вр.к.38, 480м от к.238",Нижневартовский,77.133473,60.882545,земли лесного фонда,0.1573,210.7,-,2018-10-22 00:00:00
